회차,번호1순위,번호2순위,번호3순위,번호4순위,번호5순위,번호6순위
987,19,17,21,40,41,28
988,18,5,14,42,20,39
989,5,4,18,3,41,15
990,18,16,35,28,21,11
991,5,3,35,20,14,26
992,7,15,27,11,24,16
993,36,11,32,2,27,33
994,10,22,32,25,3,37
995,8,16,5,40,29,7
996,36,21,22,23,44,6
997,14,27,11,31,20,25
998,5,6,2,12,32,17
999,8,22,45,10,2,37
1000,18,32,27,43,44,31
1001,36,13,9,10,12,28
1002,6,35,13,37,28,16
1003,8,15,39,7,3,14
1004,27,19,42,14,5,23
1005,31,5,2,19,3,39
1006,28,21,19,32,6,11
1007,26,19,30,27,21,35
1008,45,18,41,23,40,24
1009,19,41,37,1,11,20
1010,45,9,18,34,1,25
1011,8,45,9,32,37,29
1012,34,18,2,12,36,14
1013,20,43,29,1,25,39
1014,26,18,10,2,27,3
1015,10,41,21,14,12,11
1016,19,25,39,1,38,31
1017,5,2,43,41,42,1
1018,24,28,20,34,11,13
1019,8,16,4,5,1,6
1020,4,3,39,29,37,13
1021,4,17,5,21,36,11
1022,34,37,17,36,30,10
1023,17,10,32,2,36,37
1024,45,2,14,43,28,21
1025,29,45,12,34,36,15
1026,33,3,5,21,44,38
1027,8,30,3,37,7,10
1028,33,34,3,5,2,37
1029,3,42,44,12,6,38
1030,24,29,16,6,21,36
1031,39,30,43,44,37,25
1032,8,38,3,27,23,30
1033,26,15,17,12,36,20
1034,27,20,44,15,28,14
1035,45,8,1,36,38,29
1036,22,30,43,44,1,9
1037,20,6,17,43,4,13
1038,31,32,22,4,12,20
1039,18,25,38,27,24,5
1040,34,28,27,37,21,22
1041,38,28,45,16,5,2
1042,28,5,17,40,1,9
1043,24,27,3,43,26,18
1044,3,5,12,23,40,19
1045,37,5,14,29,26,39
1046,29,30,35,37,36,18
1047,19,12,13,15,32,21
1048,37,3,4,24,44,7
1049,23,27,8,9,20,13
1050,36,2,18,35,32,9
1051,18,22,42,44,13,35
1052,26,4,19,5,34,29
1053,43,18,38,41,1,10
1054,6,28,4,40,41,9
1055,23,28,2,5,43,12
1056,7,10,28,44,19,9
1057,34,7,28,4,15,8
1058,16,42,36,40,44,13
1059,28,24,43,36,1,11
1060,24,20,26,11,31,7
1061,20,23,4,33,14,5
1062,10,19,44,11,39,5
1063,22,37,43,41,18,27
1064,18,36,45,3,43,32
1065,16,2,27,40,44,5
1066,35,16,32,26,19,44
1067,28,19,20,40,41,11
1068,21,27,19,20,9,32
1069,14,18,2,43,41,22
1070,16,34,6,43,42,39
1071,13,27,16,21,40,29
1072,33,2,9,40,44,13
1073,34,2,42,40,44,29
1074,12,33,9,4,40,39
1075,10,40,22,29,31,5
1076,16,27,45,10,25,15
1077,18,35,7,40,13,14
1078,32,18,16,6,19,28
1079,18,35,2,20,15,3
1080,8,33,40,22,18,29
1081,9,45,31,40,18,27
1082,22,23,3,43,1,36
1083,16,27,6,22,43,26
1084,35,3,7,38,9,36
1085,18,22,7,2,21,29
1086,16,30,37,3,31,18
1087,7,6,2,20,1,28
1088,15,18,43,41,12,23
1089,18,2,22,14,34,13
1090,3,28,17,38,13,5
1091,33,9,39,20,42,40
1092,22,1,23,24,9,3
1093,23,7,43,39,30,11
1094,31,20,25,42,22,11
1095,34,6,42,38,1,10
1096,12,3,30,21,39,11
1097,5,9,1,30,14,10
1098,3,30,17,18,41,11
1099,18,12,42,25,8,9
1100,7,20,37,39,24,8
1101,32,19,9,41,22,34
1102,7,4,43,18,14,23
1103,26,3,37,22,9,28
1104,12,17,16,39,30,20
1105,32,30,1,14,15,7
1106,11,17,22,37,33,4
1107,29,4,38,21,7,40
1108,16,24,18,13,15,27
1109,25,3,8,21,11,6
1110,17,16,18,13,43,40
1111,16,7,38,11,9,4
1112,29,12,18,23,33,25
1113,18,6,11,19,44,21
1114,24,28,21,44,9,22
1115,16,3,41,44,1,22
1116,30,27,9,39,38,22
1117,16,26,45,36,9,21
1118,18,6,5,29,22,4
1119,13,45,3,5,11,4
1120,34,20,19,22,24,40
1121,31,29,20,44,21,25
1122,15,30,19,35,1,32
1123,5,20,16,27,1,32
1124,14,36,9,35,7,1
1125,29,6,39,7,8,24
1126,26,37,45,16,14,7
1127,28,31,25,33,18,13
1128,13,37,36,25,42,7
1129,36,25,16,9,41,1
1130,30,18,17,38,10,40
1131,11,33,30,4,9,20
1132,25,19,17,40,1,41
1133,5,4,11,40,38,1
1134,15,17,45,4,16,23
1135,11,23,2,14,17,7
1136,15,6,32,20,33,23
1137,27,45,2,29,6,7
1138,4,25,13,11,38,1
1139,36,2,25,33,14,8
1140,18,25,43,38,21,19
1141,17,19,2,14,22,32
1142,34,37,39,33,13,41
1143,22,23,10,9,39,30
1144,17,28,2,24,21,1
1145,33,19,20,6,12,23
1146,24,16,9,14,8,15
1147,17,14,28,20,9,11
1148,17,23,3,24,25,42
1149,35,20,12,16,44,29
1150,34,45,4,32,26,7
1151,33,15,45,20,8,38
1152,34,21,44,32,26,11
1153,12,45,26,3,31,24
1154,30,34,42,21,44,23
1155,24,25,12,8,10,20
1156,33,20,1,26,40,5
1157,36,16,2,13,40,20
1158,15,39,7,43,9,19
1159,15,45,5,39,17,24
1160,16,3,4,27,23,5
1161,33,2,12,30,1,36
1162,11,14,42,40,39,38
1163,33,3,21,25,7,19
1164,11,4,43,39,15,21
1165,26,14,6,36,13,5
1166,7,43,39,5,36,37
1167,34,42,22,31,19,9
1168,45,13,28,34,7,9
