번호,출현횟수,상대빈도,계산된확률
1,0,0.0,0.017777777777777778
2,1,0.041666666666666664,0.026111111111111113
3,0,0.0,0.017777777777777778
4,0,0.0,0.017777777777777778
5,0,0.0,0.017777777777777778
6,0,0.0,0.017777777777777778
7,0,0.0,0.017777777777777778
8,1,0.041666666666666664,0.026111111111111113
9,1,0.041666666666666664,0.026111111111111113
10,0,0.0,0.017777777777777778
11,0,0.0,0.017777777777777778
12,0,0.0,0.017777777777777778
13,0,0.0,0.017777777777777778
14,1,0.041666666666666664,0.026111111111111113
15,1,0.041666666666666664,0.026111111111111113
16,2,0.08333333333333333,0.034444444444444444
17,0,0.0,0.017777777777777778
18,0,0.0,0.017777777777777778
19,1,0.041666666666666664,0.026111111111111113
20,0,0.0,0.017777777777777778
21,0,0.0,0.017777777777777778
22,0,0.0,0.017777777777777778
23,0,0.0,0.017777777777777778
24,1,0.041666666666666664,0.026111111111111113
25,2,0.08333333333333333,0.034444444444444444
26,2,0.08333333333333333,0.034444444444444444
27,1,0.041666666666666664,0.026111111111111113
28,0,0.0,0.017777777777777778
29,1,0.041666666666666664,0.026111111111111113
30,0,0.0,0.017777777777777778
31,0,0.0,0.017777777777777778
32,0,0.0,0.017777777777777778
33,0,0.0,0.017777777777777778
34,1,0.041666666666666664,0.026111111111111113
35,0,0.0,0.017777777777777778
36,0,0.0,0.017777777777777778
37,1,0.041666666666666664,0.026111111111111113
38,0,0.0,0.017777777777777778
39,1,0.041666666666666664,0.026111111111111113
40,3,0.125,0.042777777777777776
41,1,0.041666666666666664,0.026111111111111113
42,2,0.08333333333333333,0.034444444444444444
43,0,0.0,0.017777777777777778
44,0,0.0,0.017777777777777778
45,0,0.0,0.017777777777777778
