이전회차,현재회차,공통번호,개수
381,382,[10],1
382,383,[15],1
384,385,[32],1
385,386,"[7, 19]",2
386,387,"[31, 40]",2
387,388,[1],1
389,390,[16],1
390,391,"[28, 39]",2
393,394,[28],1
394,395,[20],1
395,396,"[20, 31]",2
398,399,[42],1
399,400,[9],1
400,401,[43],1
402,403,[22],1
403,404,[24],1
406,407,"[7, 24]",2
408,409,"[9, 21]",2
409,410,"[32, 40]",2
411,412,[39],1
413,414,"[2, 15, 23]",3
415,416,[26],1
416,417,"[5, 22]",2
418,419,"[11, 13, 28]",3
421,422,[44],1
424,425,[10],1
425,426,[27],1
429,430,"[3, 34]",2
430,431,[18],1
433,434,[33],1
437,438,"[29, 38]",2
438,439,[20],1
440,441,"[28, 34]",2
444,445,"[13, 45]",2
447,448,[7],1
448,449,[3],1
451,452,[30],1
453,454,[38],1
456,457,"[18, 23, 27]",3
457,458,"[10, 40]",2
458,459,"[4, 10, 40]",3
460,461,[11],1
461,462,[37],1
463,464,"[34, 44]",2
465,466,[13],1
468,469,[37],1
470,471,"[39, 41]",2
472,473,[36],1
473,474,[13],1
475,476,[9],1
477,478,[29],1
480,481,[3],1
483,484,[28],1
484,485,[27],1
486,487,[25],1
487,488,[8],1
488,489,"[2, 8]",2
489,490,[2],1
491,492,[35],1
492,493,"[22, 37]",2
495,496,"[4, 13]",2
496,497,[20],1
497,498,[24],1
499,500,[20],1
500,501,[4],1
502,503,[34],1
504,505,[22],1
505,506,[22],1
508,509,"[35, 43]",2
509,510,"[12, 29]",2
511,512,[26],1
512,513,"[5, 27]",2
514,515,[15],1
515,516,"[2, 23]",2
516,517,[41],1
518,519,[30],1
522,523,"[4, 37]",2
523,524,"[38, 45]",2
524,525,"[11, 29]",2
525,526,[39],1
528,529,[31],1
529,530,[27],1
530,531,[27],1
532,533,[17],1
535,536,[18],1
536,537,[43],1
538,539,[31],1
539,540,[3],1
540,541,"[13, 34]",2
541,542,[26],1
542,543,[26],1
543,544,[44],1
544,545,[25],1
545,546,[27],1
550,551,[20],1
551,552,[20],1
553,554,[17],1
554,555,[17],1
556,557,"[20, 28]",2
557,558,"[26, 40]",2
558,559,[12],1
559,560,[45],1
560,561,[45],1
562,563,"[17, 31]",2
564,565,[27],1
565,566,[4],1
567,568,[1],1
568,569,[3],1
570,571,[26],1
571,572,[18],1
573,574,[43],1
577,578,[34],1
578,579,"[5, 42]",2
579,580,"[5, 7]",2
580,581,[5],1
581,582,[14],1
582,583,"[33, 40]",2
583,584,[40],1
584,585,"[7, 41]",2
585,586,[7],1
586,587,[21],1
588,589,[8],1
589,590,[38],1
590,591,"[30, 38]",2
591,592,[13],1
592,593,[13],1
593,594,[13],1
594,595,"[8, 28]",2
596,597,[43],1
597,598,[24],1
598,599,[12],1
599,600,"[5, 29]",2
602,603,[27],1
603,604,[2],1
604,605,[2],1
605,606,[1],1
606,607,"[14, 39]",2
607,608,"[8, 39]",2
608,609,"[4, 8, 39]",3
610,611,[36],1
611,612,[33],1
613,614,"[8, 44]",2
615,616,"[18, 23]",2
616,617,[5],1
618,619,"[8, 30]",2
620,621,"[2, 16]",2
621,622,[16],1
623,624,[7],1
624,625,[7],1
629,630,[31],1
630,631,[31],1
633,634,"[12, 20]",2
634,635,[11],1
636,637,[16],1
637,638,[22],1
638,639,[22],1
639,640,[15],1
640,641,"[18, 21]",2
641,642,[18],1
642,643,[24],1
645,646,[41],1
646,647,[24],1
649,650,"[3, 41]",2
650,651,[11],1
651,652,[44],1
653,654,[26],1
655,656,"[7, 40]",2
656,657,"[14, 40]",2
657,658,[19],1
658,659,[19],1
662,663,[5],1
664,665,[44],1
665,666,"[6, 11, 17]",3
666,667,[17],1
667,668,[15],1
671,672,[31],1
673,674,[10],1
675,676,"[1, 8, 45]",3
677,678,[12],1
678,679,[5],1
680,681,[29],1
681,682,"[27, 43]",2
682,683,[27],1
685,686,"[7, 12]",2
689,690,[38],1
690,691,[33],1
691,692,[15],1
692,693,[11],1
694,695,[33],1
695,696,"[18, 34, 38]",3
697,698,"[11, 33]",2
698,699,[21],1
699,700,[29],1
701,702,"[3, 16]",2
703,704,[33],1
704,705,[1],1
705,706,"[6, 28]",2
707,708,"[2, 19]",2
708,709,[10],1
710,711,[24],1
711,712,[45],1
714,715,"[7, 33]",2
715,716,[2],1
716,717,[2],1
717,718,"[11, 32]",2
718,719,"[4, 20]",2
720,721,[1],1
721,722,[43],1
722,723,[30],1
723,724,"[33, 35]",2
724,725,[41],1
725,726,[21],1
726,727,[21],1
727,728,[10],1
731,732,[2],1
732,733,[32],1
734,735,"[37, 41]",2
735,736,[27],1
736,737,"[18, 27]",2
737,738,[27],1
743,744,"[15, 21, 34, 41]",4
745,746,"[3, 12]",2
746,747,[12],1
749,750,[24],1
751,752,"[4, 16, 20]",3
753,754,"[2, 17, 24]",3
755,756,"[14, 28]",2
758,759,"[9, 43]",2
759,760,"[42, 43]",2
760,761,[42],1
762,763,[3],1
763,764,[34],1
766,767,[34],1
768,769,[7],1
771,772,"[6, 21]",2
772,773,[21],1
773,774,[12],1
774,775,"[12, 42]",2
776,777,[21],1
777,778,"[6, 21, 37]",3
778,779,"[6, 41]",2
779,780,[19],1
780,781,[19],1
781,782,[18],1
782,783,"[38, 45]",2
785,786,[15],1
786,787,[16],1
788,789,"[2, 19]",2
789,790,[19],1
791,792,[2],1
793,794,[38],1
794,795,[38],1
795,796,[26],1
797,798,"[22, 32]",2
799,800,"[12, 45]",2
800,801,[28],1
803,804,[26],1
804,805,"[13, 32]",2
805,806,[31],1
808,809,[15],1
810,811,[21],1
813,814,[42],1
814,815,[21],1
816,817,[12],1
817,818,[25],1
818,819,[25],1
821,822,[24],1
822,823,"[18, 24]",2
823,824,[24],1
824,825,[38],1
825,826,[33],1
826,827,[33],1
827,828,[29],1
828,829,"[4, 31]",2
829,830,[5],1
830,831,[16],1
831,832,[19],1
833,834,"[18, 42]",2
835,836,"[9, 28]",2
836,837,[28],1
837,838,[33],1
838,839,[9],1
839,840,[11],1
840,841,[11],1
841,842,[14],1
842,843,[42],1
843,844,[33],1
844,845,"[33, 45]",2
845,846,[45],1
846,847,[30],1
847,848,[16],1
848,849,[39],1
849,850,[39],1
854,855,[43],1
855,856,"[43, 44]",2
856,857,[10],1
857,858,[38],1
858,859,"[38, 39]",2
859,860,[8],1
860,861,[25],1
862,863,[43],1
864,865,[3],1
865,866,[15],1
867,868,[17],1
870,871,[30],1
871,872,"[2, 30]",2
872,873,[33],1
874,875,[19],1
875,876,[34],1
876,877,[5],1
881,882,[18],1
882,883,"[18, 44]",2
883,884,[37],1
884,885,[45],1
885,886,[45],1
886,887,[45],1
888,889,"[3, 38]",2
889,890,[29],1
891,892,[9],1
892,893,[17],1
893,894,[41],1
894,895,[41],1
895,896,"[26, 38]",2
896,897,"[12, 26]",2
898,899,[21],1
900,901,[18],1
901,902,[23],1
903,904,[2],1
907,908,"[21, 44]",2
909,910,[35],1
911,912,[5],1
912,913,[21],1
913,914,[16],1
915,916,"[6, 22]",2
922,923,[17],1
923,924,[3],1
924,925,"[34, 42]",2
927,928,[4],1
930,931,[25],1
931,932,[15],1
932,933,[36],1
933,934,[36],1
936,937,"[13, 29]",2
937,938,[10],1
938,939,[4],1
941,942,[12],1
943,944,[13],1
944,945,[33],1
945,946,"[9, 30]",2
949,950,[40],1
951,952,[12],1
952,953,[22],1
953,954,[9],1
954,955,"[9, 26]",2
957,958,[35],1
959,960,[24],1
961,962,[31],1
962,963,[34],1
963,964,[6],1
964,965,[36],1
965,966,"[25, 29]",2
966,967,"[1, 37]",2
969,970,[9],1
970,971,[21],1
971,972,"[6, 17]",2
972,973,[37],1
976,977,[14],1
978,979,[7],1
979,980,[16],1
982,983,[13],1
983,984,"[23, 35]",2
984,985,[23],1
987,988,[2],1
990,991,[25],1
991,992,"[33, 44]",2
993,994,[24],1
994,995,[1],1
995,996,[39],1
996,997,[24],1
998,999,[18],1
1000,1001,[42],1
1002,1003,[45],1
1003,1004,[39],1
1005,1006,[8],1
1006,1007,"[8, 11, 16]",3
1007,1008,[11],1
1008,1009,[44],1
1009,1010,"[15, 34]",2
1010,1011,"[9, 12]",2
1011,1012,[35],1
1013,1014,[26],1
1014,1015,[14],1
1016,1017,[34],1
1020,1021,"[12, 29, 45]",3
1021,1022,"[29, 45]",2
1022,1023,[29],1
1023,1024,[18],1
1024,1025,"[9, 20]",2
1027,1028,[35],1
1028,1029,[12],1
1031,1032,"[6, 36]",2
1035,1036,[34],1
1036,1037,"[2, 22]",2
1037,1038,[27],1
1039,1040,[36],1
1042,1043,[5],1
1043,1044,"[12, 26]",2
1048,1049,[21],1
1050,1051,[35],1
1051,1052,"[26, 35]",2
1052,1053,[26],1
1053,1054,"[30, 45]",2
1054,1055,[14],1
1056,1057,"[13, 45]",2
1057,1058,[40],1
1058,1059,"[25, 40]",2
1059,1060,[10],1
1060,1061,"[24, 45]",2
1061,1062,[45],1
1063,1064,"[3, 6, 22]",3
1064,1065,"[3, 18]",2
1065,1066,"[19, 32]",2
1066,1067,[19],1
1067,1068,"[7, 19, 33]",3
1069,1070,[22],1
1070,1071,[30],1
1072,1073,"[18, 32]",2
1073,1074,"[6, 28]",2
1074,1075,[1],1
1080,1081,"[16, 23]",2
1087,1088,"[21, 44]",2
1093,1094,[22],1
1094,1095,[40],1
1098,1099,[43],1
1099,1100,[43],1
1101,1102,[13],1
1108,1109,[19],1
1110,1111,[3],1
1112,1113,"[20, 44]",2
1113,1114,[32],1
1114,1115,[32],1
1116,1117,[30],1
1118,1119,"[13, 45]",2
1120,1121,"[31, 38]",2
1121,1122,[6],1
1122,1123,"[21, 34, 35]",3
1123,1124,[34],1
1124,1125,[33],1
1125,1126,[40],1
1126,1127,[37],1
1128,1129,"[5, 28]",2
1129,1130,[28],1
1130,1131,[27],1
1131,1132,[6],1
1132,1133,"[28, 34]",2
1133,1134,[13],1
1134,1135,"[13, 19]",2
1135,1136,"[21, 33]",2
1136,1137,[33],1
1140,1141,[7],1
1142,1143,[28],1
1145,1146,[11],1
1146,1147,[11],1
1148,1149,[15],1
1149,1150,[8],1
1150,1151,[9],1
1152,1153,[35],1
1154,1155,[38],1
1157,1158,[25],1
1158,1159,"[27, 38]",2
1159,1160,[39],1
1161,1162,[20],1
1164,1165,[38],1
1165,1166,"[27, 29]",2
1166,1167,[23],1
