회차,패턴,정렬된패턴,당첨번호1,당첨번호2,당첨번호3,당첨번호4,당첨번호5,당첨번호6
57,ABBCDE,02_ABBCDE,7,10,16,25,29,44
87,ABBCDE,02_ABBCDE,4,12,16,23,34,43
103,ABBCDE,02_ABBCDE,5,14,15,27,30,45
139,ABBCDE,02_ABBCDE,9,11,15,20,28,43
144,ABBCDE,02_ABBCDE,4,15,17,26,36,37
193,ABBCDE,02_ABBCDE,6,14,18,26,36,39
243,ABBCDE,02_ABBCDE,2,12,17,19,28,42
304,ABBCDE,02_ABBCDE,4,10,16,26,33,41
317,ABBCDE,02_ABBCDE,3,10,11,22,36,39
376,ABBCDE,02_ABBCDE,1,11,13,24,28,40
425,ABBCDE,02_ABBCDE,8,10,14,27,33,38
466,ABBCDE,02_ABBCDE,4,10,13,23,32,44
526,ABBCDE,02_ABBCDE,7,14,17,20,35,39
548,ABBCDE,02_ABBCDE,1,12,13,21,32,45
593,ABBCDE,02_ABBCDE,9,10,13,24,33,38
698,ABBCDE,02_ABBCDE,3,11,13,21,33,37
708,ABBCDE,02_ABBCDE,2,10,16,19,34,45
777,ABBCDE,02_ABBCDE,6,12,17,21,34,37
788,ABBCDE,02_ABBCDE,2,10,11,19,35,39
795,ABBCDE,02_ABBCDE,3,10,13,26,34,38
821,ABBCDE,02_ABBCDE,1,12,13,24,29,44
831,ABBCDE,02_ABBCDE,3,10,16,19,31,39
887,ABBCDE,02_ABBCDE,8,14,17,27,36,45
910,ABBCDE,02_ABBCDE,1,11,17,27,35,39
923,ABBCDE,02_ABBCDE,3,17,18,23,36,41
937,ABBCDE,02_ABBCDE,2,10,13,22,29,40
976,ABBCDE,02_ABBCDE,4,12,14,25,35,37
996,ABBCDE,02_ABBCDE,6,11,15,24,32,39
1012,ABBCDE,02_ABBCDE,5,11,18,20,35,45
1033,ABBCDE,02_ABBCDE,3,11,15,20,35,44
1042,ABBCDE,02_ABBCDE,5,14,15,23,34,43
1048,ABBCDE,02_ABBCDE,6,12,17,21,32,39
30,ABCDDE,03_ABCDDE,8,17,20,35,36,44
95,ABCDDE,03_ABCDDE,8,17,27,31,34,43
117,ABCDDE,03_ABCDDE,5,10,22,34,36,44
135,ABCDDE,03_ABCDDE,6,14,22,28,35,39
163,ABCDDE,03_ABCDDE,7,11,26,28,29,44
245,ABCDDE,03_ABCDDE,9,11,27,31,32,38
257,ABCDDE,03_ABCDDE,6,13,27,31,32,37
306,ABCDDE,03_ABCDDE,4,18,23,30,34,41
329,ABCDDE,03_ABCDDE,9,17,19,30,35,42
379,ABCDDE,03_ABCDDE,6,10,22,31,35,40
423,ABCDDE,03_ABCDDE,1,17,27,28,29,40
496,ABCDDE,03_ABCDDE,4,13,20,29,36,41
527,ABCDDE,03_ABCDDE,1,12,22,32,33,42
552,ABCDDE,03_ABCDDE,1,10,20,32,35,40
680,ABCDDE,03_ABCDDE,4,10,19,29,32,42
689,ABCDDE,03_ABCDDE,7,17,19,30,36,38
695,ABCDDE,03_ABCDDE,4,18,26,33,34,38
767,ABCDDE,03_ABCDDE,5,15,20,31,34,42
825,ABCDDE,03_ABCDDE,8,15,21,31,33,38
865,ABCDDE,03_ABCDDE,3,15,22,32,33,45
946,ABCDDE,03_ABCDDE,9,18,19,30,34,40
957,ABCDDE,03_ABCDDE,4,15,24,35,36,40
960,ABCDDE,03_ABCDDE,2,18,24,30,32,45
984,ABCDDE,03_ABCDDE,3,10,23,35,36,37
988,ABCDDE,03_ABCDDE,2,13,20,30,31,41
