번호,출현횟수
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,1
15,0
16,2
17,0
18,0
19,1
20,0
21,2
22,0
23,1
24,1
25,1
26,0
27,2
28,0
29,2
30,1
31,2
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,3
41,1
42,3
43,0
44,0
45,0
