,회차,순위정렬1,순위정렬2,순위정렬3,순위정렬4,순위정렬5,순위정렬6,상위10포함수
394,395,12,23,25,29,31,34,3
397,398,8,15,25,31,36,43,4
398,399,2,3,8,15,19,43,3
406,407,14,17,28,29,32,38,3
411,412,8,15,19,21,28,42,4
421,422,8,10,21,25,31,34,3
433,434,1,8,12,25,31,32,3
454,455,1,8,15,23,33,34,3
457,458,2,15,17,19,43,44,3
464,465,5,15,29,30,43,44,3
473,474,8,9,17,19,22,34,3
490,491,6,17,19,24,29,36,3
500,501,5,7,8,15,22,29,3
502,503,4,5,6,15,19,30,3
518,519,15,17,21,30,39,41,3
532,533,8,9,21,31,33,45,3
534,535,7,17,23,25,28,35,3
536,537,11,15,23,29,33,34,3
539,540,6,14,17,19,28,30,4
555,556,2,30,31,33,37,44,3
566,567,6,19,30,33,41,44,3
577,578,3,10,13,28,31,33,3
586,587,4,8,15,25,33,40,4
594,595,2,17,28,29,42,44,3
602,603,5,12,15,17,30,31,4
611,612,14,15,29,30,40,45,3
612,613,13,30,31,33,41,43,3
629,630,4,8,12,19,30,41,3
640,641,7,14,19,29,31,39,3
641,642,8,11,14,18,19,31,3
643,644,8,12,14,29,33,44,3
645,646,17,19,20,25,43,45,3
649,650,10,16,28,29,30,43,3
651,652,2,10,25,28,31,43,3
653,654,10,15,17,31,34,36,3
654,655,2,5,19,28,29,40,3
663,664,2,23,29,30,31,43,3
672,673,8,20,23,28,31,36,3
673,674,3,6,15,17,25,45,3
681,682,3,8,17,33,34,39,3
685,686,16,17,19,23,25,28,4
689,690,4,15,20,27,31,33,3
690,691,3,17,20,22,30,33,3
691,692,8,19,24,28,29,40,4
693,694,2,14,15,16,19,30,3
700,701,7,25,26,30,31,38,3
701,702,12,13,25,30,33,36,3
706,707,22,25,27,29,30,33,4
714,715,3,17,18,25,31,43,3
716,717,18,19,28,29,41,42,3
719,720,4,5,6,30,31,33,3
745,746,15,21,28,30,31,40,4
749,750,6,19,23,25,30,31,4
760,761,8,16,17,21,25,40,3
761,762,6,25,28,31,33,40,4
778,779,1,19,25,26,33,35,3
781,782,1,15,22,25,33,39,3
788,789,17,19,21,22,29,32,3
791,792,15,19,25,30,33,39,5
810,811,15,16,19,21,28,30,4
814,815,2,6,26,28,29,33,3
816,817,8,11,19,28,33,45,4
820,821,6,8,17,29,32,39,3
822,823,4,8,12,25,28,31,4
830,831,8,17,23,28,29,35,4
888,889,14,15,30,33,35,40,3
895,896,8,10,19,24,28,30,4
897,898,8,17,33,34,37,41,3
901,902,8,14,25,28,30,42,4
913,914,15,16,28,31,33,35,4
914,915,15,17,22,31,36,44,3
919,920,1,3,15,23,30,31,3
929,930,7,25,27,28,30,35,3
937,938,15,19,23,26,30,33,4
942,943,10,12,13,25,29,30,3
951,952,8,15,17,32,40,44,3
974,975,8,28,30,33,43,45,4
975,976,8,11,15,17,35,40,3
989,990,13,17,19,23,31,35,3
991,992,9,14,15,17,26,29,3
994,995,5,8,10,17,30,41,3
1005,1006,7,14,20,25,31,33,3
1010,1011,8,9,31,33,38,45,3
1036,1037,4,8,15,17,22,43,3
1038,1039,8,21,25,26,33,39,3
1041,1042,1,8,11,17,33,41,3
1044,1045,6,17,28,31,38,39,3
1045,1046,19,30,31,35,36,38,3
1059,1060,8,13,24,26,30,31,3
1065,1066,17,25,27,33,36,44,3
1074,1075,5,12,25,30,31,42,3
