회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스
1,B,C,D,D,E,E,B
2,A,B,C,C,D,E,A
3,B,B,C,C,C,D,D
4,B,C,D,D,E,E,A
5,B,C,D,E,E,E,A
6,B,B,C,C,E,E,D
7,A,A,B,C,C,E,E
8,A,C,C,D,E,E,A
9,A,A,B,B,D,E,B
10,A,C,D,D,E,E,A
11,A,A,D,E,E,E,B
12,A,B,C,C,E,E,E
13,C,C,C,E,E,E,C
14,A,A,B,D,D,E,B
15,A,A,B,D,D,E,B
16,A,A,C,E,E,E,D
17,A,A,A,B,D,E,A
18,A,B,B,C,D,D,D
19,A,D,E,E,E,E,C
20,B,B,B,C,C,D,E
21,A,B,B,B,D,D,C
22,A,A,A,A,B,E,C
23,A,B,B,B,D,E,E
24,A,A,C,D,D,E,A
25,A,A,C,C,E,E,B
26,A,A,A,B,C,C,D
27,A,C,C,D,E,E,C
28,A,B,C,C,D,E,A
29,A,A,B,D,E,E,B
30,A,B,C,D,D,E,A
31,A,A,B,C,D,D,D
32,A,B,C,C,D,E,B
33,A,A,D,D,E,E,A
34,A,C,D,E,E,E,A
35,A,A,B,C,E,E,E
36,A,B,C,C,D,E,D
37,A,C,D,D,D,E,E
38,B,B,C,D,E,E,D
39,A,A,B,B,C,E,A
40,A,B,B,C,C,C,A
41,B,C,C,D,E,E,D
42,B,B,C,C,C,D,A
43,A,D,D,E,E,E,A
44,A,B,C,D,E,E,E
45,A,B,C,C,D,D,B
46,A,B,B,C,D,E,E
47,B,B,C,D,D,E,C
48,A,B,B,C,E,E,A
49,A,A,B,C,D,E,D
50,A,B,B,B,C,E,A
51,A,A,B,B,C,E,D
52,A,A,B,B,C,D,A
53,A,A,B,D,D,E,E
54,A,A,C,C,D,E,E
55,B,C,D,E,E,E,A
56,B,B,D,D,D,E,C
57,A,B,B,C,D,E,A
58,B,C,C,D,E,E,A
59,A,D,D,E,E,E,B
60,A,A,C,D,E,E,B
61,B,B,C,D,E,E,A
62,A,A,B,C,D,D,C
63,A,C,C,D,E,E,A
64,B,B,B,C,C,D,E
65,A,C,D,D,E,E,E
66,A,A,A,B,C,C,E
67,A,A,B,B,D,E,D
68,B,B,B,B,C,E,E
69,A,A,B,B,C,E,D
70,A,C,C,C,D,E,C
71,A,A,B,B,D,E,C
72,A,A,B,B,C,C,A
73,A,B,B,D,E,E,E
74,A,B,B,B,D,E,C
75,A,A,C,D,D,E,D
76,A,A,B,C,C,E,E
77,A,B,D,D,E,E,E
78,B,B,C,D,D,D,E
79,A,B,C,C,D,D,B
80,B,B,C,C,C,D,A
81,A,A,B,B,C,D,A
82,A,A,A,B,C,E,E
83,A,B,B,B,C,D,B
84,B,C,C,D,E,E,B
85,A,A,B,C,D,D,C
86,A,B,E,E,E,E,D
87,A,B,B,C,D,E,C
88,A,B,C,C,D,E,C
89,A,C,D,D,D,E,E
90,B,C,D,D,E,E,B
91,A,C,C,C,D,E,C
92,A,B,C,D,D,D,B
93,A,C,C,D,E,E,C
94,A,D,D,E,E,E,A
95,A,B,C,D,D,E,B
96,A,A,A,C,C,D,C
97,A,A,B,B,C,D,A
98,A,A,B,C,C,D,E
99,A,A,B,C,D,E,B
100,A,A,B,C,E,E,A
101,A,A,B,D,D,E,A
102,B,C,C,C,D,E,E
103,A,B,B,C,D,E,B
104,B,D,D,D,E,E,D
105,A,B,C,D,E,E,D
106,A,B,B,C,C,D,D
107,A,A,A,A,A,D,B
108,A,B,C,C,D,E,B
109,A,A,D,D,E,E,D
110,A,C,C,C,D,E,A
111,A,B,D,D,D,E,C
112,C,D,D,D,E,E,E
113,A,A,D,D,D,E,C
114,B,B,C,C,D,E,A
115,A,A,A,A,C,D,D
116,A,A,C,D,D,E,B
117,A,B,C,D,D,E,D
118,A,A,B,B,C,C,E
119,A,B,B,B,B,C,E
120,A,A,B,B,D,E,D
121,B,D,D,D,E,E,A
122,A,B,B,B,D,E,A
123,A,B,B,D,D,E,C
124,A,B,C,C,D,E,A
125,A,A,D,D,D,D,B
126,A,C,C,C,E,E,A
127,A,A,B,D,D,E,D
128,B,D,D,D,E,E,E
129,C,C,C,D,E,E,B
130,A,C,C,C,E,E,D
131,A,B,B,B,B,C,E
132,A,B,C,D,E,E,E
133,A,A,B,B,C,C,B
134,A,B,C,C,D,D,E
135,A,B,C,D,D,E,B
136,A,B,D,D,E,E,B
137,A,A,C,C,D,E,B
138,B,B,C,D,E,E,C
139,A,B,B,C,D,E,B
140,A,B,B,B,C,D,A
141,A,B,D,D,E,E,A
142,B,B,D,D,E,E,C
143,C,C,D,E,E,E,A
144,A,B,B,C,D,E,E
145,A,A,B,C,C,E,A
146,A,C,C,D,E,E,C
147,A,A,B,C,E,E,D
148,C,C,D,D,D,D,B
149,A,B,C,D,E,E,C
150,A,B,C,D,E,E,B
151,A,A,B,B,B,C,B
152,A,A,B,C,D,D,E
153,A,A,B,B,B,D,D
154,A,C,C,D,E,E,C
155,B,C,C,D,D,E,A
156,A,B,D,D,E,E,A
157,C,C,D,D,D,E,E
158,A,A,B,B,C,D,A
159,A,B,D,E,E,E,D
160,A,A,A,D,E,E,A
161,C,D,D,E,E,E,E
162,A,A,C,C,E,E,C
163,A,B,C,D,D,E,B
164,A,A,B,B,E,E,C
165,A,B,B,C,C,E,D
166,A,B,C,D,E,E,B
167,C,C,D,D,D,E,A
168,A,B,D,E,E,E,D
169,B,C,D,E,E,E,C
170,A,B,B,B,D,E,B
171,A,B,C,D,D,D,A
172,A,C,C,C,C,E,D
173,A,A,C,D,D,D,B
174,B,B,B,C,D,E,B
175,C,C,D,D,D,D,B
176,A,B,D,D,D,D,B
177,A,B,B,B,E,E,A
178,A,A,B,B,B,C,A
179,A,A,B,C,E,E,D
180,A,B,C,C,D,D,C
181,B,C,C,D,E,E,E
182,B,B,C,D,D,E,D
183,A,B,C,D,E,E,A
184,A,A,A,B,C,D,E
185,A,A,A,A,C,E,B
186,A,B,B,C,C,E,A
187,A,A,A,B,D,E,E
188,C,C,C,D,D,D,D
189,A,B,D,D,E,E,D
190,A,B,B,D,D,E,B
191,A,A,C,C,D,E,A
192,A,A,B,B,E,E,D
193,A,B,B,C,D,E,B
194,B,C,C,C,E,E,D
195,A,B,C,C,D,E,D
196,D,D,E,E,E,E,D
197,A,B,B,D,E,E,A
198,B,C,C,C,E,E,A
199,B,C,C,C,D,D,E
200,A,A,B,B,B,C,A
201,A,B,C,E,E,E,C
202,B,B,C,D,E,E,B
203,A,A,B,C,D,D,A
204,A,B,B,D,E,E,A
205,A,A,C,D,D,E,D
206,A,A,A,B,C,C,E
207,A,B,B,D,D,E,E
208,B,C,D,D,E,E,C
209,A,A,B,C,C,D,E
210,B,C,C,C,C,E,E
211,B,B,B,C,D,E,A
212,B,B,B,C,D,E,A
213,A,A,A,A,C,C,E
214,A,A,C,C,D,E,D
215,A,A,A,B,E,E,A
216,A,B,B,D,D,E,A
217,B,C,C,D,D,E,E
218,A,A,B,B,D,E,C
219,A,B,C,C,D,E,B
220,A,B,C,C,D,E,D
221,A,C,D,D,E,E,B
222,A,A,D,D,E,E,E
223,A,A,B,C,C,C,E
224,A,C,C,C,D,E,A
225,A,B,B,C,D,D,A
226,A,A,A,B,C,C,D
227,A,A,B,B,C,E,A
228,B,C,D,D,E,E,C
229,A,A,A,B,C,E,D
230,A,B,B,D,D,D,B
231,A,B,C,D,E,E,C
232,A,A,B,B,C,E,D
233,A,A,B,B,D,E,E
234,B,C,C,C,C,E,A
235,C,C,C,C,D,E,A
236,A,A,A,B,E,E,A
237,A,B,B,C,C,E,D
238,A,A,B,D,D,D,D
239,B,B,C,E,E,E,A
240,A,B,B,E,E,E,C
241,A,B,C,C,D,D,C
242,A,C,C,C,D,D,E
243,A,B,B,C,D,E,D
244,B,B,C,D,E,E,C
245,A,B,C,D,D,E,C
246,B,B,C,C,C,E,B
247,B,B,D,D,E,E,B
248,A,A,B,C,E,E,B
249,A,A,C,D,E,E,B
250,C,C,D,E,E,E,E
251,A,A,C,C,D,E,E
252,B,C,C,D,E,E,D
253,A,C,C,D,D,D,D
254,A,A,C,C,C,D,C
255,A,A,A,C,C,E,D
256,A,B,B,C,C,E,D
257,A,B,C,D,D,E,A
258,B,C,D,D,E,E,B
259,A,A,B,D,E,E,D
260,A,B,B,C,E,E,E
261,A,B,B,B,D,E,A
262,A,B,C,C,D,D,D
263,A,C,D,D,E,E,B
264,A,B,C,D,E,E,A
265,A,A,D,E,E,E,B
266,A,A,A,B,C,E,E
267,A,A,C,D,D,E,A
268,A,B,C,C,D,E,B
269,A,B,C,D,E,E,D
270,A,A,B,C,C,C,C
271,A,A,A,C,D,E,D
272,A,A,B,C,E,E,D
273,A,A,C,D,D,E,A
274,B,B,B,C,D,E,C
275,B,C,C,D,E,E,C
276,A,B,C,D,E,E,C
277,B,B,B,B,C,D,C
278,A,B,E,E,E,E,B
279,A,B,D,D,E,E,B
280,B,B,C,C,D,E,D
281,A,A,A,A,B,E,B
282,A,A,B,B,D,D,D
283,A,A,B,D,E,E,E
284,A,A,B,C,D,E,D
285,B,D,E,E,E,E,A
286,A,B,C,E,E,E,B
287,A,B,C,C,D,E,E
288,A,B,B,D,D,E,B
289,A,B,D,E,E,E,B
290,A,B,B,D,E,E,A
291,A,A,A,B,C,E,E
292,B,B,D,D,D,D,B
293,A,A,B,C,D,D,C
294,A,B,B,D,E,E,E
295,A,A,B,B,B,E,A
296,A,A,B,C,D,E,E
297,A,B,C,C,D,D,D
298,A,A,C,D,E,E,C
299,A,A,C,C,D,E,C
300,A,A,B,B,C,E,E
301,A,B,B,D,E,E,C
302,B,C,C,D,E,E,A
303,A,B,B,D,E,E,E
304,A,B,B,C,D,E,E
305,A,A,B,C,C,E,A
306,A,B,C,D,D,E,C
307,A,B,C,C,C,E,B
308,B,B,B,C,E,E,E
309,A,A,A,B,B,D,C
310,A,A,C,D,D,E,B
311,A,B,C,C,D,D,B
312,A,A,A,A,B,C,C
313,A,B,D,D,E,E,A
314,B,B,C,D,E,E,A
315,A,B,D,D,E,E,C
316,B,B,C,C,D,E,E
317,A,B,B,C,D,E,A
318,A,B,C,C,D,E,C
319,A,A,C,D,D,E,E
320,B,C,C,C,E,E,A
321,B,B,C,C,C,D,E
322,A,B,D,D,E,E,C
323,B,B,B,D,D,E,A
324,A,A,C,C,D,D,B
325,A,B,C,D,E,E,D
326,B,C,C,D,D,E,E
327,A,B,B,B,D,E,C
328,A,A,A,B,B,D,C
329,A,B,C,D,D,E,A
330,A,A,B,B,C,C,C
331,A,A,B,C,D,E,E
332,B,B,D,D,E,E,A
333,A,B,C,D,E,E,D
334,B,B,C,D,E,E,D
335,A,A,B,C,C,E,C
336,A,A,C,D,D,E,B
337,A,A,B,B,D,E,A
338,A,B,D,E,E,E,B
339,A,A,B,C,D,E,E
340,B,C,C,D,D,E,D
341,A,A,C,D,E,E,E
342,A,B,B,D,D,E,C
343,A,B,B,D,D,E,B
344,A,A,B,D,D,E,E
345,B,C,C,D,E,E,A
346,A,B,B,C,E,E,D
347,A,A,B,C,D,E,B
348,A,B,B,C,C,D,D
349,A,B,B,C,C,C,D
350,A,A,B,C,D,D,D
351,A,C,C,D,D,D,D
352,A,B,B,C,C,E,C
353,B,B,C,C,D,D,C
354,B,C,D,E,E,E,A
355,A,A,D,D,D,E,E
356,A,A,B,C,D,E,C
357,B,B,B,C,D,E,A
358,A,A,B,B,C,E,E
359,A,B,C,C,C,E,C
360,A,B,C,C,D,E,C
361,A,B,B,C,C,D,D
362,A,A,C,C,D,E,D
363,B,B,B,C,D,E,A
364,A,A,A,B,B,E,A
365,A,B,C,C,C,D,D
366,A,B,C,C,C,E,E
367,A,C,C,D,D,E,C
368,B,C,C,D,E,E,C
369,B,C,D,D,E,E,C
370,B,B,C,E,E,E,B
371,A,A,B,C,C,E,B
372,A,B,B,B,B,C,B
373,B,C,E,E,E,E,A
374,B,B,B,B,C,D,C
375,A,A,C,C,C,E,A
376,A,B,B,C,D,E,A
377,A,C,D,E,E,E,C
378,A,C,D,D,D,E,E
379,A,B,C,D,D,E,C
380,A,A,A,B,C,E,C
381,A,A,B,B,B,C,B
382,B,B,C,C,C,E,C
383,A,B,D,D,E,E,C
384,B,C,C,D,D,E,A
385,A,B,C,C,D,D,A
386,A,A,B,C,D,E,C
387,A,C,D,D,E,E,C
388,A,A,A,B,D,D,E
389,A,B,B,C,C,C,A
390,B,B,D,E,E,E,B
391,B,B,B,C,D,E,D
392,A,A,A,A,C,E,E
393,A,B,D,E,E,E,C
394,A,B,C,C,C,D,B
395,B,B,C,C,D,D,A
396,B,C,D,D,E,E,D
397,B,B,B,C,C,D,A
398,B,B,C,C,E,E,A
399,A,A,A,B,C,E,C
400,A,C,C,D,E,E,A
401,A,B,B,D,E,E,A
402,A,A,B,C,C,D,D
403,B,B,C,C,D,E,C
404,A,C,C,C,D,E,D
405,A,A,B,C,C,E,A
406,A,B,C,C,C,D,E
407,A,A,B,B,C,C,A
408,A,C,C,C,D,E,B
409,A,A,C,D,D,E,E
410,A,A,B,D,E,E,B
411,B,B,C,D,E,E,A
412,A,A,E,E,E,E,E
413,A,A,B,C,D,E,A
414,A,B,B,C,C,E,E
415,A,B,C,C,D,E,C
416,A,A,A,B,C,C,E
417,A,A,B,C,C,E,E
418,B,B,B,C,D,D,D
419,A,B,B,B,D,D,A
420,A,A,B,D,D,D,C
421,A,B,C,C,D,E,D
422,A,B,C,C,D,E,B
423,A,B,C,D,D,E,A
424,B,B,C,D,D,E,D
425,A,B,B,C,D,E,A
426,A,B,B,C,E,E,C
427,A,A,B,C,D,D,C
428,B,B,C,C,E,E,A
429,A,C,D,D,E,E,B
430,A,A,B,B,D,D,E
431,B,C,C,D,E,E,A
432,A,A,A,B,C,E,D
433,C,C,D,D,D,E,C
434,A,B,C,C,D,E,D
435,A,B,C,D,E,E,E
436,A,B,C,C,D,D,D
437,B,B,D,E,E,E,C
438,A,B,C,C,D,E,E
439,B,C,D,D,E,E,C
440,B,C,D,D,D,E,A
441,A,C,D,D,D,D,A
442,C,C,D,D,E,E,E
443,A,A,B,C,C,E,B
444,B,B,C,D,E,E,B
445,B,C,C,D,E,E,D
446,A,B,B,B,C,D,A
447,A,A,A,A,B,D,D
448,A,A,B,C,E,E,D
449,A,B,C,C,D,E,D
450,A,B,C,C,C,D,B
451,B,B,C,C,D,E,D
452,A,B,B,D,D,D,C
453,B,C,D,E,E,E,D
454,B,C,C,D,E,E,B
455,A,C,C,C,D,D,C
456,A,A,B,B,C,C,E
457,A,B,B,C,C,E,D
458,A,A,B,D,D,E,B
459,A,A,B,B,C,E,B
460,A,B,D,D,E,E,E
461,B,B,C,D,E,E,E
462,A,C,C,D,E,E,A
463,C,D,D,D,D,E,E
464,A,B,B,D,E,E,A
465,A,A,B,B,C,E,D
466,A,B,B,C,D,E,C
467,A,B,B,B,C,E,E
468,A,B,B,D,E,E,B
469,A,C,C,D,E,E,D
470,B,B,C,E,E,E,C
471,A,B,D,E,E,E,E
472,B,C,C,D,D,E,E
473,A,B,C,C,C,D,D
474,A,B,B,D,D,E,E
475,A,A,B,B,C,D,A
476,A,B,B,B,E,E,C
477,B,C,D,D,D,E,E
478,B,D,D,E,E,E,A
479,A,C,C,C,D,E,C
480,A,A,B,B,D,D,B
481,A,A,C,D,E,E,C
482,A,B,B,C,C,D,E
483,B,B,C,C,D,D,A
484,A,A,C,D,D,E,B
485,B,C,C,C,D,E,C
486,A,A,C,C,E,E,E
487,A,A,C,C,E,E,C
488,A,A,B,D,D,E,C
489,A,A,A,B,C,C,B
490,A,A,C,D,E,E,E
491,A,B,D,D,E,E,A
492,C,C,D,D,E,E,E
493,C,C,C,D,D,E,C
494,A,A,A,B,D,E,C
495,A,B,C,C,D,E,A
496,A,B,C,D,D,E,E
497,C,C,C,C,E,E,B
498,B,B,C,D,E,E,A
499,A,C,C,C,D,E,E
500,A,A,B,C,C,D,E
501,A,A,B,B,D,E,A
502,A,C,D,D,D,E,C
503,A,A,C,D,D,D,E
504,A,B,C,C,E,E,D
505,A,C,C,C,E,E,E
506,A,A,B,C,C,D,D
507,B,B,D,D,E,E,A
508,A,C,D,D,D,E,E
509,B,C,D,D,E,E,C
510,B,D,D,D,E,E,E
511,A,A,B,C,C,E,C
512,A,A,A,B,C,C,A
513,A,A,C,C,C,D,B
514,A,B,C,C,D,E,A
515,A,B,B,B,C,E,A
516,A,A,C,E,E,E,D
517,A,A,B,D,D,E,B
518,B,C,D,D,D,E,A
519,A,A,B,B,D,E,A
520,A,C,C,D,E,E,A
521,A,A,B,D,D,D,C
