회차,순위정렬1,순위정렬2,순위정렬3,순위정렬4,순위정렬5,순위정렬6
978,1,9,22,32,33,44
979,4,15,19,23,32,34
980,11,25,26,34,38,42
981,2,4,14,16,26,39
982,10,16,22,28,29,32
983,2,10,23,32,38,42
984,12,13,24,25,38,41
985,1,9,19,31,40,42
986,13,29,33,34,38,39
987,17,22,24,31,40,41
988,9,14,19,22,39,42
989,3,4,6,15,19,41
990,13,17,19,23,31,35
991,4,6,15,20,30,35
992,9,14,15,17,26,29
993,3,14,29,33,34,36
994,4,10,25,27,34,38
995,5,8,10,17,30,41
996,7,23,24,25,36,44
997,11,16,23,26,30,33
998,2,5,7,16,17,34
999,2,8,11,26,38,45
1000,18,28,32,34,43,44
1001,9,10,12,16,31,36
1002,6,14,17,31,35,38
1003,4,7,8,16,17,40
1004,7,17,24,26,30,42
1005,2,4,6,21,32,39
1006,7,14,20,25,31,33
1007,21,22,28,29,32,35
1008,19,23,24,40,42,45
1009,1,12,20,24,39,42
1010,1,9,19,28,35,45
1011,8,9,31,33,38,45
1012,2,13,15,19,35,37
1013,1,22,25,32,40,43
1014,2,3,10,18,26,29
1015,10,11,13,15,24,41
1016,1,19,27,33,39,40
1017,1,2,9,41,42,43
1018,12,15,20,27,29,35
1019,1,6,7,8,9,16
1020,3,9,13,30,38,40
1021,4,6,13,19,25,39
1022,11,19,31,35,36,39
1023,2,11,19,33,36,38
1024,2,14,23,29,43,45
1025,14,15,31,35,36,45
1026,4,6,23,35,39,44
1027,4,7,10,11,32,37
1028,2,4,5,33,34,37
1029,3,7,13,38,42,44
1030,7,18,23,24,33,36
1031,27,34,37,39,43,44
1032,3,11,25,33,34,39
1033,13,16,19,24,26,37
1034,14,16,23,28,29,44
1035,1,9,30,36,39,45
1036,1,11,25,31,43,44
1037,4,8,15,17,22,43
1038,4,14,22,24,32,34
1039,8,21,25,26,33,39
1040,23,24,28,33,34,37
1041,2,8,16,33,38,45
1042,1,8,11,17,33,41
1043,3,21,25,27,28,43
1044,3,6,13,22,26,41
1045,6,17,28,31,38,39
1046,19,30,31,35,36,38
1047,12,15,16,20,24,33
1048,3,6,7,26,38,44
1049,8,12,14,24,26,28
1050,3,10,21,33,36,37
1051,14,21,26,35,42,44
1052,4,5,22,27,32,35
1053,1,11,19,38,42,43
1054,5,6,10,32,40,41
1055,2,6,13,25,31,43
1056,8,9,11,21,30,44
1057,4,7,9,15,30,35
1058,15,17,37,41,42,44
1059,1,13,27,30,36,43
1060,8,13,24,26,30,31
1061,4,7,15,25,26,35
1062,5,10,12,24,39,44
1063,24,26,31,37,42,43
1064,3,22,33,37,43,45
1065,3,5,18,31,41,44
1066,17,25,27,33,36,44
1067,12,25,26,31,40,42
1068,11,20,23,26,28,33
1069,2,15,22,25,41,43
1070,6,17,35,39,42,43
1071,14,17,24,28,32,42
1072,2,11,14,33,41,44
1073,2,30,34,41,42,44
1074,4,9,14,34,39,42
1075,5,12,25,30,31,42
1076,11,15,17,26,28,45
1077,7,13,14,26,36,42
1078,6,17,19,26,30,33
1079,2,5,15,20,24,35
1080,8,21,26,31,34,41
1081,11,21,28,33,40,45
1082,1,5,25,26,36,44
1083,6,17,25,27,28,44
1084,5,8,11,35,36,38
1085,2,8,20,26,27,29
1086,4,17,20,31,32,37
1087,1,2,6,8,25,29
1088,12,16,20,28,41,43
1089,2,14,16,20,28,36
1090,4,5,15,19,29,38
1091,11,21,33,40,41,42
1092,2,5,10,25,28,29
1093,8,14,28,31,40,43
1094,14,22,25,29,33,43
1095,2,6,11,36,38,43
1096,4,12,13,26,32,40
1097,1,6,9,10,15,31
1098,3,11,17,22,31,41
1099,10,11,13,19,28,42
1100,7,9,23,28,38,40
1101,10,22,25,32,35,42
1102,5,9,14,21,26,43
1103,3,10,26,27,29,37
1104,13,17,20,24,31,39
1105,1,9,14,15,31,32
1106,5,12,21,25,34,37
1107,5,7,24,32,39,42
1108,14,15,18,20,27,28
1109,3,7,8,12,24,28
1110,14,16,19,20,40,43
1111,5,8,10,11,17,38
1112,13,20,27,28,31,33
1113,7,12,19,20,25,44
1114,12,22,25,27,29,44
1115,1,3,17,26,41,44
1116,11,26,28,31,38,39
1117,10,17,23,28,38,45
1118,4,5,6,18,28,30
1119,3,4,6,12,13,45
1120,20,23,24,25,34,40
1121,22,24,26,30,31,44
1122,1,16,23,31,32,36
1123,1,5,19,23,29,32
1124,1,9,10,15,35,36
1125,6,7,8,25,30,39
1126,8,15,19,28,37,45
1127,14,22,28,30,31,35
1128,8,14,29,36,37,42
1129,1,9,16,29,37,42
1130,10,17,21,31,39,41
1131,6,10,13,23,31,35
1132,1,18,22,30,40,41
1133,1,4,6,12,39,40
1134,5,15,17,19,28,45
1135,4,7,12,16,19,26
1136,7,17,21,26,32,35
1137,4,6,7,30,31,45
1138,1,5,12,14,30,38
1139,2,8,16,30,35,36
1140,18,20,21,30,38,43
1141,2,16,18,20,29,32
1142,15,33,35,37,40,41
1143,9,10,26,28,31,39
1144,1,2,18,24,28,31
1145,6,13,19,22,27,34
1146,8,10,14,16,19,29
1147,10,12,16,19,22,30
1148,3,19,24,26,27,43
1149,15,19,24,31,37,44
1150,5,7,30,32,35,45
1151,9,18,20,33,38,45
1152,11,22,30,32,35,44
1153,3,14,28,29,32,45
1154,22,23,32,35,42,44
1155,8,11,13,23,26,27
1156,1,7,23,29,35,41
1157,2,14,19,23,37,41
1158,8,10,18,22,40,44
1159,7,16,19,26,40,45
1160,3,4,6,18,24,29
1161,1,2,13,31,34,37
1162,12,17,38,39,40,42
1163,3,8,20,24,26,33
1164,4,12,18,24,40,44
1165,5,6,15,18,29,38
1166,6,8,36,37,39,43
1167,10,21,24,32,35,43
1168,8,10,16,30,35,45
1169,2,19,24,28,37,38
1170,1,3,14,19,36,40
