회차,세트번호,예측번호,당첨번호,일치개수,일치번호,등수
89,1,12 25 34 37 38 44,4 26 28 29 33 40 +37,0,,0
89,2,1 14 15 24 27 29,4 26 28 29 33 40 +37,1,29,0
89,3,16 24 32 35 40 43,4 26 28 29 33 40 +37,1,40,0
89,4,3 9 21 31 36 45,4 26 28 29 33 40 +37,0,,0
89,5,11 26 31 35 36 39,4 26 28 29 33 40 +37,1,26,0
90,1,3 14 26 32 40 43,17 20 29 35 38 44 +10,0,,0
90,2,18 20 24 29 44 45,17 20 29 35 38 44 +10,3,20 29 44,5
90,3,6 9 10 26 31 40,17 20 29 35 38 44 +10,0,,0
90,4,7 15 17 23 28 40,17 20 29 35 38 44 +10,1,17,0
90,5,2 3 6 27 28 33,17 20 29 35 38 44 +10,0,,0
91,1,1 17 21 28 31 32,1 21 24 26 29 42 +27,2,1 21,0
91,2,12 21 30 31 33 34,1 21 24 26 29 42 +27,1,21,0
91,3,2 3 15 16 18 37,1 21 24 26 29 42 +27,0,,0
91,4,3 4 13 17 19 40,1 21 24 26 29 42 +27,0,,0
91,5,8 18 26 27 31 42,1 21 24 26 29 42 +27,2,26 42,0
92,1,5 8 28 31 32 44,3 14 24 33 35 36 +17,0,,0
92,2,1 5 19 33 42 43,3 14 24 33 35 36 +17,1,33,0
92,3,2 14 23 29 35 39,3 14 24 33 35 36 +17,2,14 35,0
92,4,10 12 20 21 28 42,3 14 24 33 35 36 +17,0,,0
92,5,4 12 14 25 36 39,3 14 24 33 35 36 +17,2,14 36,0
93,1,11 12 28 31 34 37,6 22 24 36 38 44 +19,0,,0
93,2,5 9 13 24 27 29,6 22 24 36 38 44 +19,1,24,0
93,3,5 16 18 34 39 42,6 22 24 36 38 44 +19,0,,0
93,4,7 15 17 23 33 41,6 22 24 36 38 44 +19,0,,0
93,5,2 11 24 30 35 41,6 22 24 36 38 44 +19,1,24,0
94,1,3 23 28 31 32 44,5 32 34 40 41 45 +6,1,32,0
94,2,11 16 18 20 27 33,5 32 34 40 41 45 +6,0,,0
94,3,23 27 29 31 37 38,5 32 34 40 41 45 +6,0,,0
94,4,8 9 14 25 32 40,5 32 34 40 41 45 +6,2,32 40,0
94,5,4 7 10 18 28 35,5 32 34 40 41 45 +6,0,,0
95,1,1 4 6 17 20 32,8 17 27 31 34 43 +14,1,17,0
95,2,13 24 32 37 39 44,8 17 27 31 34 43 +14,0,,0
95,3,17 18 33 42 43 44,8 17 27 31 34 43 +14,2,17 43,0
95,4,5 10 21 23 40 43,8 17 27 31 34 43 +14,1,43,0
95,5,3 6 17 18 21 32,8 17 27 31 34 43 +14,1,17,0
96,1,13 15 18 24 36 41,1 3 8 21 22 31 +20,0,,0
96,2,2 19 29 34 37 45,1 3 8 21 22 31 +20,0,,0
96,3,5 10 17 27 28 45,1 3 8 21 22 31 +20,0,,0
96,4,3 9 15 33 39 41,1 3 8 21 22 31 +20,1,3,0
96,5,2 6 9 13 30 40,1 3 8 21 22 31 +20,0,,0
97,1,13 28 33 35 41 42,6 7 14 15 20 36 +3,0,,0
97,2,8 19 21 22 25 35,6 7 14 15 20 36 +3,0,,0
97,3,6 13 23 33 44 45,6 7 14 15 20 36 +3,1,6,0
97,4,5 6 9 22 31 44,6 7 14 15 20 36 +3,1,6,0
97,5,13 16 26 30 31 43,6 7 14 15 20 36 +3,0,,0
98,1,6 10 11 21 23 43,6 9 16 23 24 32 +43,2,6 23,0
98,2,4 15 22 39 41 45,6 9 16 23 24 32 +43,0,,0
98,3,5 9 14 25 26 41,6 9 16 23 24 32 +43,1,9,0
98,4,1 12 17 22 38 43,6 9 16 23 24 32 +43,0,,0
98,5,3 5 8 11 15 27,6 9 16 23 24 32 +43,0,,0
99,1,1 4 17 20 24 32,1 3 10 27 29 37 +11,1,1,0
99,2,4 15 16 22 27 41,1 3 10 27 29 37 +11,1,27,0
99,3,10 17 34 36 40 42,1 3 10 27 29 37 +11,1,10,0
99,4,3 24 26 33 41 42,1 3 10 27 29 37 +11,1,3,0
99,5,1 9 10 19 20 45,1 3 10 27 29 37 +11,2,1 10,0
100,1,5 21 26 31 36 37,1 7 11 23 37 42 +6,1,37,0
100,2,6 16 21 24 36 38,1 7 11 23 37 42 +6,0,,0
100,3,7 13 16 34 38 39,1 7 11 23 37 42 +6,1,7,0
100,4,2 4 5 16 35 44,1 7 11 23 37 42 +6,0,,0
100,5,4 11 12 33 39 41,1 7 11 23 37 42 +6,1,11,0
