회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,pattern
664,10,20,33,36,41,44,5,BCDDEE
1009,15,23,29,34,40,44,20,BCDDEE
1016,15,26,28,34,41,42,44,BCDDEE
1015,14,23,31,33,37,40,44,BCDDEE
258,14,27,30,31,38,40,17,BCDDEE
898,18,21,28,35,37,42,17,BCDDEE
369,17,20,35,36,41,43,21,BCDDEE
925,13,24,32,34,39,42,4,BCDDEE
439,17,20,30,31,37,40,25,BCDDEE
1119,1,9,12,13,20,45,3,AABBCE
997,4,7,14,16,24,44,20,AABBCE
1083,3,7,14,15,22,38,17,AABBCE
69,5,8,14,15,19,39,35,AABBCE
39,6,7,13,15,21,43,8,AABBCE
817,3,9,12,13,25,43,34,AABBCE
459,4,6,10,14,25,40,12,AABBCE
465,1,8,11,13,22,38,31,AABBCE
628,1,7,12,15,23,42,11,AABBCE
596,3,4,12,14,25,43,17,AABBCE
51,2,3,11,16,26,44,35,AABBCE
227,4,5,15,16,22,42,2,AABBCE
968,2,5,12,14,24,39,33,AABBCE
772,5,6,11,14,21,41,32,AABBCE
915,2,6,11,13,22,37,14,AABBCE
922,2,6,13,17,27,43,36,AABBCE
892,4,9,17,18,26,42,36,AABBCE
358,1,9,10,12,21,40,37,AABBCE
300,7,9,10,12,26,38,39,AABBCE
977,2,9,10,14,22,44,16,AABBCE
232,8,9,10,12,24,44,35,AABBCE
