파일저장일시,알고리즘,회차,세트번호,번호세트,일치개수,등수
2025-04-25 16:47:33,2,1168,1,1 10 17 37 40 41,1,0
2025-04-25 16:47:33,2,1168,2,10 18 25 35 40 45,0,0
2025-04-25 16:47:33,2,1168,3,5 13 22 36 40 45,0,0
2025-04-25 16:47:33,2,1168,4,2 4 9 15 30 38,2,0
2025-04-25 16:47:33,2,1168,5,3 5 8 9 39 45,1,0
2025-04-25 16:47:33,3,1168,1,3 17 30 33 35 42,2,0
2025-04-25 16:47:33,3,1168,2,3 10 28 31 34 45,0,0
2025-04-25 16:47:33,3,1168,3,1 9 17 18 35 42,1,0
2025-04-25 16:47:33,3,1168,4,12 19 29 35 42 45,0,0
2025-04-25 16:47:33,3,1168,5,2 9 14 19 24 36,2,0
2025-04-25 16:47:33,4,1168,1,9 21 24 30 32 38,4,4
2025-04-25 16:47:33,4,1168,2,18 20 23 26 41 45,0,0
2025-04-25 16:47:33,4,1168,3,9 18 27 29 30 38,2,0
2025-04-25 16:47:33,4,1168,4,5 19 25 33 35 38,1,0
2025-04-25 16:47:33,4,1168,5,5 8 9 25 26 28,1,0
2025-04-25 16:47:33,5,1168,1,4 7 15 23 32 34,0,0
2025-04-25 16:47:33,5,1168,2,4 16 19 23 29 31,0,0
2025-04-25 16:47:33,5,1168,3,7 14 16 25 35 39,0,0
2025-04-25 16:47:33,5,1168,4,1 4 10 12 14 19,0,0
2025-04-25 16:47:33,5,1168,5,7 9 18 35 36 39,1,0
